s009_f00046_ts1468074969_Phys.root  0.00952  1.02857  0.00926
s009_f00047_ts1468078573_Phys.root  0.01046  1.04481  0.01001
s009_f00048_ts1468082177_Phys.root  0.00831  1.03116  0.00806
s009_f00049_ts1468085780_Phys.root  0.01066  1.02951  0.01035
s009_f00050_ts1468089384_Phys.root  0.00460  1.04912  0.00439
s009_f00051_ts1468092987_Phys.root  0.00985  1.02672  0.00959
s009_f00052_ts1468096591_Phys.root  0.00707  1.02592  0.00689
s009_f00053_ts1468100194_Phys.root  0.00536  1.00842  0.00531
s009_f00054_ts1468103798_Phys.root  0.01291  1.04024  0.01241
s009_f00055_ts1468107402_Phys.root  0.00519  1.02671  0.00506
s009_f00056_ts1468111005_Phys.root  0.00227  1.03331  0.00220
s009_f00057_ts1468114609_Phys.root  0.00737  1.03021  0.00715
s009_f00058_ts1468118212_Phys.root  0.00869  1.01817  0.00853
s009_f00059_ts1468121816_Phys.root  0.00952  1.02776  0.00926
s009_f00060_ts1468125419_Phys.root  0.00714  1.03489  0.00690
s009_f00061_ts1468129023_Phys.root  0.00654  1.02453  0.00638
s009_f00062_ts1468132627_Phys.root  0.00801  1.02840  0.00779
s009_f00063_ts1468136230_Phys.root  0.00817  1.05642  0.00773
s009_f00064_ts1468139834_Phys.root  0.00646  1.02423  0.00631
s009_f00065_ts1468143437_Phys.root  0.00756  1.03193  0.00733
s009_f00066_ts1468147041_Phys.root  0.00847  1.02619  0.00826
s009_f00067_ts1468150644_Phys.root  0.00731  1.01754  0.00718
s009_f00068_ts1468154248_Phys.root  0.01453  1.05305  0.01380
s009_f00069_ts1468157851_Phys.root  0.01498  1.03864  0.01443
s009_f00070_ts1468161455_Phys.root  0.01098  1.06955  0.01027
s009_f00071_ts1468165059_Phys.root  0.00404  1.04197  0.00387
s009_f00072_ts1468168662_Phys.root  0.00500  1.02000  0.00490
s009_f00073_ts1468172266_Phys.root  0.00853  1.04068  0.00820
s009_f00074_ts1468175869_Phys.root  0.01213  1.01927  0.01190
s009_f00075_ts1468179473_Phys.root  0.01006  1.02750  0.00979
s009_f00076_ts1468183076_Phys.root  0.00704  1.04031  0.00677
s009_f00077_ts1468186680_Phys.root  0.01474  1.03789  0.01420
s009_f00078_ts1468190283_Phys.root  0.00611  1.04953  0.00582
s009_f00079_ts1468193887_Phys.root  0.00806  1.04032  0.00775
s009_f00080_ts1468197491_Phys.root  0.00616  1.02875  0.00599
s009_f00081_ts1468201094_Phys.root  0.00945  1.03646  0.00912
s009_f00082_ts1468204698_Phys.root  0.01331  1.03714  0.01284
s009_f00083_ts1468208301_Phys.root  0.00857  1.03355  0.00829
s009_f00084_ts1468211905_Phys.root  0.00690  1.02502  0.00673
s009_f00085_ts1468215508_Phys.root  0.00802  1.02326  0.00784
s009_f00086_ts1468219112_Phys.root  0.00566  1.03074  0.00549
s009_f00087_ts1468222716_Phys.root  0.00807  1.03309  0.00781
s009_f00088_ts1468226319_Phys.root  0.00647  1.04042  0.00622
s009_f00089_ts1468229923_Phys.root  0.00832  1.03465  0.00804
s009_f00090_ts1468233526_Phys.root  0.00766  1.07427  0.00713
s009_f00091_ts1468237130_Phys.root  0.00568  1.03977  0.00546
